,Topic,Count,Name,Representation,Representative_Docs
80,79,15,79_meal_fast_food_busy,"['meal', 'fast', 'food', 'busy', 'convenient', 'quick', 'treat', 'cheap', 'meals', 'sit']","['Fast food provides a cheap and consistent meal for many people who see it as an occasional meal or treat and this should not be restricted because others cannot make good dietary choices.', 'in moderation, fast food can be a treat or convenient meal for busy people.  we should allow people to enjoy it.', 'fast food is a great option for people who are to busy to sit down for a meal.']"
81,80,15,80_bodies_choose_what_right,"['bodies', 'choose', 'what', 'right', 'want', 'adults', 'their', 'they', 'able', 'body']","['people should be able to choose what they put into their bodies.', ""people have the right to live their lives in any way they choose and the government doesn't have the right to tell adults what they can put in their own bodies"", 'people have the right to use their bodies in any way they choose.']"
82,81,15,81_crime_crimes_criminals_committing,"['crime', 'crimes', 'criminals', 'committing', 'habitually', 'he', 'criminal', 'learned', 'if', 'offending']","[""if a person has been arrested for three crimes they have not learned from their mistakes but see being a criminal as a lifestyle.   let's put those people behind bars and prevent more crimes."", 'criminals should be given a chance to reform, even if they committed the same crime multiple times.', ""if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.""]"
83,82,14,82_choices_free_choice_choose,"['choices', 'free', 'choice', 'choose', 'peoples', 're', 'disgusting', 'preference', 'website', 'style']","['we should not pay for other peoples life style choices', ""Quotas are always disgusting examples of oppression and evil. I don't want anything of that, I want freedom and free choice."", 'people should be free and open to make their own choices and if they should make any decisions that they later regret, then this will teach them important lessons for the rest of their life']"
84,83,14,83_judges_judge_personal_elected,"['judges', 'judge', 'personal', 'elected', 'interpretation', 'laws', 'biases', 'officials', 'beliefs', 'decisions']","['judges should not let their biases come into play when making judicial decisions; they should adhere to a strict interpretation of the constitution.', 'judges who rule based on their own personal and political beliefs usurp the power of our elected officials and are violating our constitutional rights,', 'judges are to base decisions on the laws of the country not on their personal beliefs.  when a judge puts his bias to a case it can change laws and not support the rights of the individual.']"
85,84,14,84_banks_neo_cashless_transactions,"['banks', 'neo', 'cashless', 'transactions', 'customers', 'banking', 'bank', 'access', 'financial', 'customer']","['People don’t trust neo-banks as much because they don’t have a physical presence, which makes them a risk for customers in case of any issues or challenges. In-person customer service may appear more trustworthy to customers.', 'Fintech companies can open specialized neo-banks that target a specific type of customer’s needs. For example, LXME aims to become India’s first Neo bank for women, which will offer product solutions that address women-specific financial needs and emotional preferences.', 'Due to their technological nature, neo-banks do not need any physical bank branches, which helps them save on overhead costs (the cost of running the business). Thus, neo-banks are able to offer lower fees and higher interest rates on checking and savings accounts to customers.']"
86,85,13,85_data_localization_developed_infrastructure,"['data', 'localization', 'developed', 'infrastructure', 'india', 'consumers', 'costs', 'stored', 'laws', 'us']","['At present, India does not have a well-developed infrastructure to ensure the security of data. On the other hand, developed countries already have an efficient infrastructure. So, rushing toward data localization may not be a wise step. Because without efficient infrastructure, the data is prone to cyber-attacks. And the risk is severe here because it is financial data. But as the laws are made, it is a big challenge to develop efficient infrastructure at a faster pace.', 'India is a big consumer market for many foreign companies. So, India and other developing countries are realizing the economic value of the data and the importance of data localization. With data localization, domestic companies and the country’s economy will be benefited. And we can also ensure the security of the data.', 'Data localization is important for data sovereignty, which means the data of the citizens should be owned by the respective governments and not by other countries.']"
87,86,13,86_minors_make_choices_decision,"['minors', 'make', 'choices', 'decision', 'decisions', 'mature', 'young', 'until', 'enough', 'too']","['minors are not mature enough to make these decisions', 'minors are too young to know what they are doing so make them wait until they are adults and better able to make these types of decisions', 'minors are too young to make these choices']"
88,87,11,87_eat_what_want_free,"['eat', 'what', 'want', 'free', 'choose', 'propagandize', 'govern', 'hurry', 'hey', 'people']","['people have the right to decide for themselves what they want to eat', 'people should be able to choose what they want to eat', 'people should be allowed to eat what they want']"
89,88,11,88_sell_immoral_body_unnatural,"['sell', 'immoral', 'body', 'unnatural', 'it', 'legitimize', 'illegal', 'impairs', 'chooses', 'right']","['women should have the right to decide what to do with their body and that should include being able to sell it.', 'a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere.', 'Everyone has the right to bodily autonomy. If a person chooses to sell his or her body for sex, it should not be illegal.']"
90,89,10,89_terrorists_terror_organizations_terrorist,"['terrorists', 'terror', 'organizations', 'terrorist', 'individuals', 'lone', 'wolf', 'terrorism', 'amendment', 'attacks']","['This will provide more police powers to the central government. The provision of naming individuals as terrorists can be misused. For example, recently several civil activists are termed as Urban Naxals. If anyone opposes the government, they will be vulnerable to be framed as terrorists. Because this amendment made it easier to label anyone as a terrorist.', 'There is a growing threat of lone-wolf terrorism. Lone wolf terrorists do not have any association with terrorist organizations, but they commit terror attacks alone by themselves. This new amendment to UAPA has the potential to curb lone-wolf terrorism.', 'Till now, only organizations were designated as terrorist organizations, but not individuals. The loophole in this is the individuals of the banned organizations are forming new organizations and carrying out terror activities. This amendment bill for the Unlawful Activities (Prevention) Act allows the government to designate individuals as terrorists, thereby terror attacks can be prevented.']"
