,Topic,document,Stance,Conclusion,Argument ID
1576,17,"legalisation of prostitution would provide a certain level of protection for the sex worker who will not need to work 'underground', and should be safer.",in favor of,We should legalize prostitution,A20365
1577,8,cannabis is not as harmful to humans as tobacco or alcohol and can have many health benefits,in favor of,We should legalize cannabis,A20366
1578,14,an austerity regime would save money for the country.,in favor of,We should adopt an austerity regime,A20367
1579,61,wikipedia is a helpful source of information for research and educational purposes,in favor of,We should subsidize Wikipedia,A20368
1580,13,by adopting a zero-tolerance policy in schools we can cut bullying out since those who do it will be removed from the school.,in favor of,We should adopt a zero-tolerance policy in schools,A20369
1581,24,we should ban cosmetic surgery for minors because society is making an unrealistic view on children and expecting them to grow up too quickly.,in favor of,We should ban cosmetic surgery for minors,A20372
1582,74,we shouldn't ban algorithmic trading because it gets more done than using single instructions and it's more systematic,against,We should ban algorithmic trading,A20373
1583,19,collectivism can achieve more that individuals alone,against,We should oppose collectivism,A20374
1584,11,some people classify themselves as gender neutral and we should respect them with our language,in favor of,We should adopt gender-neutral language,A20375
1585,20,"Subsidizing journalism will enable higher salaries be paid to journalists and ensure we keep good, talented newspeople reporting the news.",in favor of,We should subsidize journalism,A20378
1586,28,"Algorithmic trading is more likely to be traceable, making illegal data inputs such as insider information more difficult to use.",against,We should ban algorithmic trading,A20379
1587,62,there have been too many terrible shootings where the perpetrator has found it easy to amass weapons. making th is harder may limit these shootings.,in favor of,We should abolish the right to keep and bear arms,A20380
1588,24,cosmetic surgery for minors is unnecessary because they are still developing.,in favor of,We should ban cosmetic surgery for minors,A20382
1589,16,we should limit executive compensation because it will lead to having to pay taxes at the highest tier,in favor of,We should limit executive compensation,A20383
1590,6,education is important to ensure the continued progress of humanity and to move humanity forwards; for this reason we should subsidise loans for students.,in favor of,We should subsidize student loans,A20386
1591,25,pride parades cause violence and hate,in favor of,We should cancel pride parades,A20388
1592,20,journalism must be supported by the central government,in favor of,We should subsidize journalism,A20391
1593,3,Nuclear Weapons are a good defense and allows a nation to protect themselves,against,We should fight for the abolition of nuclear weapons,A20394
1594,12,people will sell their organs risking their lives,against,We should legalize organ trade,A20396
1595,20,"high-quality journalism requires time, expertise, and research. all of this requires money.",in favor of,We should subsidize journalism,A20397
1596,-1,stem cell research may be the key to curing many diseases,in favor of,We should subsidize embryonic stem cell research,A20398
1597,80,adults should be able to choose substances that they want to use.,in favor of,We should legalize cannabis,A20400
1598,59,human cloning is vital for medical science as it might be able to identify treatments and cures for diseases,against,We should ban human cloning,A20401
1599,34,factory farming allows for cheaper meat production costs thus enabling those on low incomes to be able to afford meat.,against,We should ban factory farming,A20402
1600,27,we should ban whaling because it is inhumane and because whales are becoming extinct.,in favor of,We should ban whaling,A20403
1601,65,we shouldn't abolish the three-strikes laws because everyone deserves a chance and it's a fair system,against,We should abolish the three-strikes laws,A20404
1602,3,when we demand other countries do not have nuclear weapons it is illegitimate and hypocritical to continue having our own,in favor of,We should fight for the abolition of nuclear weapons,A20405
1603,10,nobody should own the intellectual works because we are not 100% sure that they have not been stolen,in favor of,We should abolish intellectual property rights,A20406
1604,18,in a multi party system the general population have more of a choice in who their leaders are,in favor of,We should adopt a multi-party system,A20407
1605,68,we should abolish safe spaces because they take up too much room that could be used for more pressing matters.,in favor of,We should abolish safe spaces,A20408
1606,47,zoos help conservation efforts and prevent extinction of animals in the wild. many zoos have a complex breeding network in place to specifically add to wild populations of animals outside of zoos.,against,We should abolish zoos,A20409
1607,-1,this will prevent offending people or creating divisions amongst people,in favor of,We should adopt gender-neutral language,A20410
1608,9,there is a risk of children exploitation by forcing them to act things they wouldn't normally do in life,in favor of,We should ban the use of child actors,A20411
1609,25,it sends a valuable message to the lgbt community that they are free and able to celebrate their lives,against,We should cancel pride parades,A20412
1610,36,compulsory voting is an infringement on personal choice,against,We should introduce compulsory voting,A20415
1611,18,a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,against,We should adopt a multi-party system,A20416
1612,7,"some students can not afford school uniforms and or may not be comfortable in them, which is distracting.",in favor of,We should abandon the use of school uniform,A20417
1613,50,people have the freedom to religion and forcing them to chose a non religious entity is unconstitutional.,against,We should adopt atheism,A20418
1614,27,"whaling serves no purpose, there's no great benefit. it only serves to disrupt the ocean ecosystems and cause needless suffering. it should absolutely be banned.",in favor of,We should ban whaling,A20420
1615,47,zoos can aid conservation by raising awareness of animals that are facing extinction and raising funds to support them in the wild.,against,We should abolish zoos,A20422
1616,10,people deserve to have there inventions protected,against,We should abolish intellectual property rights,A20423
1617,9,acting takes children away from their education and normal childhood pursuits,in favor of,We should ban the use of child actors,A20428
1618,16,limiting executive compensation would allow more money to go to employees.,in favor of,We should limit executive compensation,A20429
1619,38,"we should ban them because it is a cult that expects members to pay lots of money to join, and if anyone tries to leave they make their life hell.",in favor of,We should ban the Church of Scientology,A20430
1620,16,executives are the primary reason a company is successful or not.  their pay is usually justifiable.,against,We should limit executive compensation,A20431
1621,21,school prayer should be prohibited because it promotes one religion over another or over no religion.,in favor of,We should prohibit school prayer,A20432
1622,51,embryonic stem cell research will help save lives and is very important.,in favor of,We should subsidize embryonic stem cell research,A20434
1623,26,judicial activism can be useful to prevent truly bad people who abuse the letter of the law to skirt punishment.,against,We should limit judicial activism,A20435
1624,68,we should abolish safe spaces because it can become a toxic place where people only talk bad about each other,in favor of,We should abolish safe spaces,A20436
1625,9,many great actors of today started as children and had no problem in their growth,against,We should ban the use of child actors,A20438
1626,26,judicial activism should be limited to avoid violence among the opposition.,in favor of,We should limit judicial activism,A20441
1627,23,we should not subsidize space exploration because that money could be spend on much more pressing matters like helping the homeless and research into cures for cancer.,against,We should subsidize space exploration,A20442
1628,-1,"judicial activism violates the legislature's authority, endangering the coequal balance of the governmental branches.",in favor of,We should limit judicial activism,A20443
1629,4,legalizing the selection of sex goes against the moral and natural principles of society,against,We should legalize sex selection,A20444
1630,31,"for minority groups used to all manner of persecutionl, safe spaces provide a metaphorical 'breathing space' where they can connect with themselves in a fear-free environment.",against,We should abolish safe spaces,A20445
1631,27,whales could be in danger of going extinct if fisherman can go out and kill them.,in favor of,We should ban whaling,A20446
1632,4,"sex selection could create places where boys outnumber girls by  a lot since there are many places that value boys more than girls, and this could create problems as they get older",against,We should legalize sex selection,A20447
1633,25,"pride parading is the peaceful place for lgbtq people to express themselves freely, demonstrate and require more acceptance from other people",against,We should cancel pride parades,A20448
1634,51,"of all the different stem cells, embryonic have the most promise for scientific research.",in favor of,We should subsidize embryonic stem cell research,A20449
1635,15,we should not end the use of economic sanctions because in the long term they can achieve significant results such as the end of the apartheid regime in south africa,against,We should end the use of economic sanctions,A20450
1636,56,telemarketing is a form of sales that has been around for years and without it many jobs would be lost.,against,We should ban telemarketing,A20451
1637,6,"It is difficult to get a job without a degree these days, so students need help paying to obtain one.",in favor of,We should subsidize student loans,A20452
1638,22,All beliefs should be recognized not just the one YOU want.,against,We should adopt atheism,A20453
1639,11,de-emphasizing gender in every day conversation will have long term benefits for humanity.,in favor of,We should adopt gender-neutral language,A20454
1640,43,libertarianism - and the seeking to maximise freedom and personal autonomy - is a key value and it should be central to the constitution.,in favor of,We should adopt libertarianism,A20457
1641,35,"the military should be wholly the domain of governments, because they provide for national defense. a private military company is 100-percent for profit, making them less favorable to true national defense.",in favor of,We should ban private military companies,A20458
1642,67,"the olympic games should be abolished as they have become a massive corporate sponsorship opportunity that is subject to bribery, cheating and politics",in favor of,We should abolish the Olympic Games,A20459
1643,50,its unreasonable to go into another country for the intent of trying to convert people to a religion.,in favor of,We should ban missionary work,A20462
1644,36,it is everyone's national duty to at least vote in elections,in favor of,We should introduce compulsory voting,A20466
1645,22,we should not because everyone needs something to believe in and if there was no religion then people may not follow laws because there is no consequences of bad actions (hell),against,We should adopt atheism,A20467
1646,37,compulsory voting would ensure that everyone becomes engaged in the political process and it would be the true voice of the people rather than the voice of the minority  who vote.,in favor of,We should introduce compulsory voting,A20468
1647,9,child actors are robbed of their childhood and can face much emotional turmoil as an adult from missing this important step in childhood.,in favor of,We should ban the use of child actors,A20469
1648,2,"Corporations should decide for themselves whether to keep a worker because they are the ones directly impacted, mandatory retirement encroached on corporate rights.",in favor of,We should end mandatory retirement,A20471
1649,23,"it costs too much money to explor space, it could be used elsewhere to benefit humans",against,We should subsidize space exploration,A20472
1650,80,everyone has opinions about themselves and should be in control of how they treat their bodies,against,We should ban cosmetic surgery,A20473
1651,1,we should not because it will cause much less accidents on the road.,against,We should stop the development of autonomous cars,A20475
1652,66,we should abolish the right to keep and bear arms because too many guns get into the hands of kids,in favor of,We should abolish the right to keep and bear arms,A20476
1653,14,"We should not adopt an austerity regime because the global economy is now rapidly growing, and the recession is years behind us.",against,We should adopt an austerity regime,A20477
1654,-1,society is a collective and the most good comes from working together,against,We should oppose collectivism,A20481
1655,4,sex selection could lead to gender inbalance in some societies.,against,We should legalize sex selection,A20483
1656,-1,"we are propagating unnatural and unattainable beauty norms by fueling an industry that operates on those that can afford it, to look as close to perfect as possible",in favor of,We should ban cosmetic surgery,A20484
1657,81,"with this law, the victim is given more security and we make sure that the perpetrator does not relapse in other crimes.",against,We should abolish the three-strikes laws,A20485
1658,43,"libertarians adopt the best policies, regardless of which party espouses them.",in favor of,We should adopt libertarianism,A20486
1659,63,whaling provides food and fuel for many people,against,We should ban whaling,A20489
1660,17,we should legalize prostitution because it gets prostitutes off the street,in favor of,We should legalize prostitution,A20491
1661,3,"We should not fight for the abolition of nuclear weapons because there is a huge risk to being the first great power to disarm your nuclear arsenal, and the status quo keeps us all safe.",against,We should fight for the abolition of nuclear weapons,A20492
1662,11,"gender-neutral language should be adoppted in todays society where peoples sex  is self determined and more fluid, because it avoids offence or discrimination",in favor of,We should adopt gender-neutral language,A20494
1663,16,executive compensation provides motivation for executives to act in ways that are beneficial to the company and shareholders.,against,We should limit executive compensation,A20495
1664,7,parents already have to pay a lot to buy supplies for their kids and having them buy school uniforms for their kids is too much of an added cost,in favor of,We should abandon the use of school uniform,A20497
1665,66,we should abolish the right to keep and bear arms since it leads to more violence and higher crime rights.,in favor of,We should abolish the right to keep and bear arms,A20499
1666,67,there is too much scandal and controversy that comes out every time the olympics come around.,in favor of,We should abolish the Olympic Games,A20500
1667,14,an austerity regime unfairly hits hardest those least able to cope such as the poor and the sick,against,We should adopt an austerity regime,A21001
1668,29,the three strike law is too strict for some offenders,in favor of,We should abolish the three-strikes laws,A21003
1669,-1,there is no need to carry a fire arm it just leads to more people doing the same,in favor of,We should abolish the right to keep and bear arms,A21005
1670,28,algorithmic trading allows larger orders to happen that one individual couldn't do without the use of the 'robots'.,against,We should ban algorithmic trading,A21006
1671,26,judicial activism can give proper justice to those when the law isn't completely clear,against,We should limit judicial activism,A21007
1672,19,collectivism provides a common goal for everyone to work towards.,against,We should oppose collectivism,A21009
1673,17,we should not legalize prostitution because they spread too many deceases so we need to get rid of prostitution,against,We should legalize prostitution,A21010
1674,19,collectivism decreases individual rights by forcing them to conform to what the group deems best,in favor of,We should oppose collectivism,A21013
1675,26,"judicial activism should not be limited as times have changed, circumstances are vastly different, than a reason why an initial law was enacted.",against,We should limit judicial activism,A21014
1676,16,if someone has worked hard  to climb the career ladder then they should receive a reward in the form of executive compensation.,against,We should limit executive compensation,A21015
1677,23,Space exploration is expensive and money should not be wasted on something that will probably never improve life on earth.,against,We should subsidize space exploration,A21017
1678,50,many religions have toxic aspects but we cannot pick and choose which ones  freedom of religion applies to.,against,We should ban the Church of Scientology,A21020
1679,20,we should subsidize journalism as it is a key element to investigating wrong doings in society,in favor of,We should subsidize journalism,A21022
1680,-1,human cloning could aid medical advances and should therefore be allowed.,against,We should ban human cloning,A21023
1681,12,legalizing the organ trade would provide life saving options for all people not just the wealthy ones who can afford to buy them on the black market.,in favor of,We should legalize organ trade,A21025
1682,2,"mandatory retirement is a form of discrimination, namely ageism, we cannot allow as a free society discrimination of any kind",in favor of,We should end mandatory retirement,A21026
1683,25,pride parades are a safe place for like minded people to gather and support each other.,against,We should cancel pride parades,A21027
1684,41,we should ban fast food because it is essentially just making obesity the most convenient lifestyle,in favor of,We should ban fast food,A21028
1685,65,we should abolish the three-strikes laws because they have no effect in detering crime,in favor of,We should abolish the three-strikes laws,A21031
1686,12,legalizing organ trade could lead to some horrific situations such as organs being taken from unwilling donors.,against,We should legalize organ trade,A21033
1687,59,human cloning could help humanity by creating being with similar organ types that could be donated to the sick,against,We should ban human cloning,A21034
1688,22,we need these people but not if they are a nuisance and try to criticize our personal beliefs.,in favor of,We should ban missionary work,A21035
1689,63,whaling is a major life blood for some communities.,against,We should ban whaling,A21036
1690,1,we need to do away with what there is so there are no accidents,in favor of,We should fight for the abolition of nuclear weapons,A21038
1691,4,"sex selection is a slippery slope that may lead to parents picking other traits to screen for, from innocent ones like hair color, to larger ones like iq.",against,We should legalize sex selection,A21040
1692,35,private military companies do not operate under the normal rules of engagement and are sometimes linked to civilian deaths,in favor of,We should ban private military companies,A21042
1693,16,"executive compensation packages are necessary to attract the best qualified people into a company - it is simply market economics, supply and demand.",against,We should limit executive compensation,A21044
1694,9,if they want to be an actor it is their choice,against,We should ban the use of child actors,A21045
1695,70,"human cloning could be dangerous in the wrong hands, for example dictators who could use it for unethical reasons.",in favor of,We should ban human cloning,A21047
1696,23,space exploration is already being funded and if a private business is interested in it they've got to pay for it,against,We should subsidize space exploration,A21048
1697,11,adopting gender-neutral language would prevent children from believing they can't do certain things.  for example a girl should be able to have aspirations to be president if she so chose.,in favor of,We should adopt gender-neutral language,A21049
1698,28,"algorithmic trading has helped the trading industry due to the high level of accuracy that it provides, there is no human error",against,We should ban algorithmic trading,A21050
1699,8,marijuana is damaging mentally and physically,against,We should legalize cannabis,A21051
1700,25,everyone has a right to celebrate and show pride.  otherwise it would be discrimination.,against,We should cancel pride parades,A21052
1701,29,three-strikes laws don't consider the proportionality of the crimes committed and would offer disproportionate punishment to people who commit petty crimes.,in favor of,We should abolish the three-strikes laws,A21054
1702,13,we don't need a zero-tolerance policy that punishes students harshly for small things,against,We should adopt a zero-tolerance policy in schools,A21055
1703,39,targeted killing is a barbaric practice.,in favor of,We should ban targeted killing,A21056
1704,34,factory farming brings meat down to a price affordable to the poorest in our community on a regular basis,against,We should ban factory farming,A21057
1705,6,"we should help students pay to be educated. it is costly, and loans hamper their future.",in favor of,We should subsidize student loans,A21058
1706,-1,"funding comes with overt or covert strings attached, certain criticisms of the government would vanish",against,We should subsidize journalism,A21059
1707,23,space exploration should be privatized and maybe we'd get somewhere.,against,We should subsidize space exploration,A21060
1708,21,We should not prohibit school prayer as it allows students to practice their faith in their everyday life.,against,We should prohibit school prayer,A21061
1709,31,people need a place to go when they need help. they need somewhere that is going to help them without question instead of forcing them back into the situation they are trying to get away from,against,We should abolish safe spaces,A21066
1710,9,it would not be possible to portray society realistically if child actors are banned because children are an important part of many dramas,against,We should ban the use of child actors,A21067
1711,3,"Nuclear weapons, by virtue of the principle of mutual assured destruction, have made another great war between global powers impossible.",against,We should fight for the abolition of nuclear weapons,A21069
1712,57,human cloning should not be banned as it the next step in medicine and will allow for transplantation to be simpler and easier to perform,against,We should ban human cloning,A21070
1713,58,the church of scientology encourages people to cut themselves off from friends and family outside the church. this isolation is potentially damaging for children as it limits the opinions they have.,in favor of,We should ban the Church of Scientology,A21071
1714,15,economic sanctions can put pressure on the regime in power.  it reduces their ability to buy weapons of oppression and the ability to keep their economy healthy.  it can be effective in the right circumstances.,against,We should end the use of economic sanctions,A21072
1715,22,atheism is a legitimate belief system that allows a person to think for himself and figure life out in his own way. it should be adopted the same as other belief systems are adopted.,in favor of,We should adopt atheism,A21073
1716,4,sex selection can possibly destroy the natural selection and over balance the society.,against,We should legalize sex selection,A21074
1717,11,we should allow young people to express their individualism.,in favor of,We should abandon the use of school uniform,A21076
1718,35,private military companies are in it for the financial gain and does not adhere to the morals of civilian casualties.,in favor of,We should ban private military companies,A21077
1719,2,mandatory retirement is age discrimination and shouldn't be allowed to happen.,in favor of,We should end mandatory retirement,A21079
1720,32,cosmetic surgery can cause more harm then good and if not done properly can damage a person for the rest of their lives.  it can also take up surgical rooms that are needed for emergency surgeries.,in favor of,We should ban cosmetic surgery,A21080
1721,64,"if telemarketing is done appropriately and at reasonable hours, then it should not be banned",against,We should ban telemarketing,A21081
1722,74,algorithmic trading is an easy way to keep money moving and to make a profit so there is no reason to ban it.,against,We should ban algorithmic trading,A21086
1723,29,three-strikes laws help people realize that what they did was wrong and change their ways before they end up in jail for life.,against,We should abolish the three-strikes laws,A21087
1724,24,cosmetic surgery for minors will only cause kids to get surgery to meet an impossible standard of looks and beauty.,in favor of,We should ban cosmetic surgery for minors,A21089
1725,14,there are too many people on planet earth and austerity is the only way our planet will survive. we do not have enough resources for our population to be gluttonous.,in favor of,We should adopt an austerity regime,A21090
1726,75,the olympic games cost vast sums of money to the host country that would be better spent on essential services such as healthcare and education,in favor of,We should abolish the Olympic Games,A21092
1727,37,compulsory voting would increase voter turnout,in favor of,We should introduce compulsory voting,A21093
1728,71,missionary work should be banned as some people can be forced into this line of work due to pressure from religious communities.,in favor of,We should ban missionary work,A21094
1729,23,The government is already in debt and subsidizing space exploration is not necessary.,against,We should subsidize space exploration,A21095
1730,82,we should not show preference to one website,against,We should subsidize Wikipedia,A21100
1731,9,children are too young to know the full effects of such a lifestyle and history has shown us many child actors are abandoned by the industry and often fall foul to substance abuse,in favor of,We should ban the use of child actors,A21101
1732,1,"Autonomous car development should be continued to help find safe, renewable energy sourced transportation for the masses.",against,We should stop the development of autonomous cars,A21102
1733,25,"Pride parades allow communities to be open and free about their lifestyles in a way that everyone else can all the time, they are fun, community events that go beyond the LGBTQ communities.",against,We should cancel pride parades,A21103
1734,35,private military companies can hold bias and due to past experiences and can result in dangerous sctivities for the wrong reasons.,in favor of,We should ban private military companies,A21104
1735,53,fast food is the main culprit for our current obesity epidemic.  we need to get rid of it to restore our health in the future.,in favor of,We should ban fast food,A21105
1736,5,There cannot be justification for taking a human life. The only way to properly deliver this message is to abolish death penalty.,in favor of,We should abolish capital punishment,A21107
1737,-1,freedom of religion is one of the most basic human rights that exist.  just because someone else might not believe in scientology doesn't give them the right to say someone else can't believe.,against,We should ban the Church of Scientology,A21108
1738,55,the right to keep and bear arms is antiquated as it was utilized to form militia's during times of conflict and war and is no longer necessary.,in favor of,We should abolish the right to keep and bear arms,A21112
1739,-1,the olympic games provide addition income to small businesses.,against,We should abolish the Olympic Games,A21113
1740,8,"cannabis is a hallucinogenic product that can harm a persons memory, lower their inhibitions and cause a person to make dangerous choices and is addictive. all of these behaviors can be destructive.",against,We should legalize cannabis,A21115
1741,14,We should not adopt an austerity regime because counter cyclical spending leads to better outcomes for the economy than austerity.,against,We should adopt an austerity regime,A21116
1742,44,"telemarketing is perfectly fine, when handled by telemarketers appropriately and politely with respect to potential customers",against,We should ban telemarketing,A21118
1743,22,"atheism should be the defacto stance as it is the only provable observance of reality, in that there is absolutely no evidence to prove the contrary.",in favor of,We should adopt atheism,A21119
1744,50,you cannot push another country just because you don't approve of their behaviors,in favor of,We should end the use of economic sanctions,A21121
1745,13,"A zero tolerance policy in schools is a very old fashioned theory, and it has failed over and over again.",against,We should adopt a zero-tolerance policy in schools,A21122
1746,60,missionary work can provide assistance to people who need it.,against,We should ban missionary work,A21127
1747,5,we should not because it will be much cheaper than keeping these evil people in prison for there life.,against,We should abolish capital punishment,A21129
1748,2,"we should not end mandatory retirement because people need to retire whether they realize it or not, it is not up to them, they of course have no free will.",against,We should end mandatory retirement,A21130
1749,11,the use of gender pronouns tends to single out one gender from the other and can be offensive to some.,in favor of,We should adopt gender-neutral language,A21132
1750,18,we should no adopt a multi-party system because nothing would ever get done with varying points of view.,against,We should adopt a multi-party system,A21133
1751,25,pride parades are a fantastic way for individuals to celebrate their identities which history has long put down as being not normal or labeled as a disorder.,against,We should cancel pride parades,A21134
1752,42,missionary work can be viewed as the exploitation of a disadvantaged culture by a privileged culture.,in favor of,We should ban missionary work,A21135
1753,20,"State subsidies for jouranalism aren't supported by a majority of the populace, making it undemocratic and not something the state should do.",against,We should subsidize journalism,A21137
1754,10,intellectual property rights protect those who have spent time and ingenuity on development of an idea and ensures they can be rewarded accordingly for their inspiration.,against,We should abolish intellectual property rights,A21138
1755,16,executive compensation encourages corruption,in favor of,We should limit executive compensation,A21139
1756,41,banning fats food should be obligatory for all governments as hurting people health.,in favor of,We should ban fast food,A21141
1757,12,legalizing organ trade would make it safer by moving it out of the hands of unscrupulous people operating in the black market.,in favor of,We should legalize organ trade,A21142
1758,51,embryonic research has proven effective in finding cures for many diseases such as cancer.,in favor of,We should subsidize embryonic stem cell research,A21143
1759,67,the olympic games are the one event that can bring all countries together in unity and should never be abolished.,against,We should abolish the Olympic Games,A21144
1760,18,the interests of a two party system are very limited and we need to expand with more parties to cater to more views,in favor of,We should adopt a multi-party system,A21146
1761,43,libertarianism gives us real freedom and keeps the government out of our lives,in favor of,We should adopt libertarianism,A21149
1762,-1,judges by definition are supposed to be impartial. having activist judges defeats the purpose,in favor of,We should limit judicial activism,A21150
1763,3,nuclear weapons should be abolished because they are just an easy way to wipe out the human race.,in favor of,We should fight for the abolition of nuclear weapons,A21152
1764,21,"the church is like any other church, and after all, there is supposed to be a separation of church and state.",against,We should ban the Church of Scientology,A21153
1765,5,"capital punishment is the only acceptable punishment for some heinous crimes because they are so evil, life in prison is not enough.",against,We should abolish capital punishment,A21155
1766,6,student loans is a help for those who do not have resources,in favor of,We should subsidize student loans,A21156
1767,-1,embyronic stem cell research uses cells that would otherwise just be destroyed.,in favor of,We should subsidize embryonic stem cell research,A21157
1768,27,"We should not ban whaling because there are whale species that could be sustainably harvested, albeit not all whale species.",against,We should ban whaling,A21161
1769,16,Executive Compensation should be limited when there are losses in the company,in favor of,We should limit executive compensation,A21162
1770,35,private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.,against,We should ban private military companies,A21164
1771,15,we could not support economic sanctions as it only hurts both countries financially in the long run.,in favor of,We should end the use of economic sanctions,A21166
1772,10,we should not abolish intellectual property rights because it's not fair for people to steal a genius idea from someone else,against,We should abolish intellectual property rights,A21168
1773,-1,if we chose to ban one religion we could end up with all religions banned which would result in war so we should not ban the church of scientology.,against,We should ban the Church of Scientology,A21169
1774,11,adopting gender neutral language would make it easier to be inclusive.,in favor of,We should adopt gender-neutral language,A21170
1775,26,"the judicial system requires independence, judicial activists undermine this independence and the practice should be limited.",in favor of,We should limit judicial activism,A21172
1776,14,"we already are in high enough debt, we don't need to make it worse be subsidizing pointless things.",against,We should subsidize journalism,A21173
1777,35,the operating personnel of these companies has been working for the army of the nation. this type of company keeps them active and always ready to defend if necessary.,against,We should ban private military companies,A21174
1778,19,we should oppose collectivism because it creates echo chambers in societies that makes it harder for individuals to give their thoughts and opinions on things,in favor of,We should oppose collectivism,A21175
1779,43,libertarianism promotes freedom and liberty in the more fair form for all. the foundation of our country is built on these ideas. there is more equality and freedom through libertarianism.,in favor of,We should adopt libertarianism,A21176
1780,49,there are still civilian casualties when using targeted killing.,in favor of,We should ban targeted killing,A21177
1781,14,the national debt is out of control and only by implementing austerity measures will we be able to reduce the budget deficit and guarantee the country's future.,in favor of,We should adopt an austerity regime,A21180
1782,-1,confining animals in small spaces is cruel.,in favor of,We should abolish zoos,A21182
1783,8,cannabis can potentially provide a route into experimenting with harder drugs.,against,We should legalize cannabis,A21183
1784,47,"zoos can help people, especially those with little money, to  discover the beauty of wildlife and learn how to protect  endangered species",against,We should abolish zoos,A21185
1785,64,we should ban telemarketing because it is annoying and there is no way to tell if the offer is legitimate.,in favor of,We should ban telemarketing,A21186
1786,47,"zoos are great educational tools, and it is also a safe place to take care of endangered species.",against,We should abolish zoos,A21190
1787,2,We should not end mandatory retirement because the current system in countries like Germany where this is common is not broken.,against,We should end mandatory retirement,A21192
1788,11,such a dramatic change to a language would have a hard time being universally adopted and would be difficult to enforce. he has already served as a gender neutral pronoun in the past.,against,We should adopt gender-neutral language,A21194
1789,6,"the tax payers would have to pay for the subsidization of student loans in the end, it would be better to reform the entire university system instead.",against,We should subsidize student loans,A21196
1790,13,the school is designed to educate not to accept student abuse,against,We should adopt a zero-tolerance policy in schools,A21197
1791,32,cosmetic surgery can provide boost in confidence. everyone should have the right to feel comfortable.,against,We should ban cosmetic surgery for minors,A21199
1792,89,i do not support that decision is that without them there would be many terrorists is a measure that helps a lot to this society,against,We should ban targeted killing,A21201
1793,47,zoos are an educational and entertaining tool and the animals are well fed and cared for.,against,We should abolish zoos,A21204
1794,11,we should because times are changing and people are not sure of their gender anymore so it stops people being offended.,in favor of,We should adopt gender-neutral language,A21205
1795,8,i think it takes up too much valuable police resources chasing recreational cannabis smokers.also many people with health conditions find cannabis beneficial to them.,in favor of,We should legalize cannabis,A21206
1796,7,the uniformity of clothing creates a sense of belonging and a collective identity which encourages camaraderie between students and this allows for greater focus on studies,against,We should abandon the use of school uniform,A21207
1797,37,compulsory voting would ensure that voting is fair and equal,in favor of,We should introduce compulsory voting,A21208
1798,28,algorithmic trading might be good for those starting out since it takes all the guess work out.,against,We should ban algorithmic trading,A21210
1799,5,"Criminals are often kept on death row for many years, suffering in anticipation of their death. This makes capital punishment more severe than just depriving the criminal of life.",in favor of,We should abolish capital punishment,A21213
1800,1,they are environmentally friendly and can help minimize traffic congestion.,against,We should stop the development of autonomous cars,A21214
1801,8,the use of cannabis does not stop there.  many go for the next high of hashish.  then on to other drugs.  cannabis should not be allowed to stop this progressions.,against,We should legalize cannabis,A21216
1802,17,"Prostitution doesn't pose any larger physical threat to the individual than other manual labor jobs. Dancers destroy their bones and construction workers their backs, if those are legal prostitution needs to be as well.",in favor of,We should legalize prostitution,A21218
1803,7,wearing uniforms decreases discrimination against children who do not have enough money to buy a lot of clothing,against,We should abandon the use of school uniform,A21219
1804,16,this measure allows to move pieces in the companies and refresh the work schemes and to adapt to the new times,in favor of,We should end mandatory retirement,A21220
1805,3,nuclear weapons prevent certain countries being attacked and help to keep world peace.,against,We should fight for the abolition of nuclear weapons,A21223
1806,25,"the lgbt world has suffered and fought greatly for equal rights, they deserve to have a parade or march in honor of such.",against,We should cancel pride parades,A21224
1807,9,we should not ban the use of child actors because then movies and shows wouldn't have any children in them,against,We should ban the use of child actors,A21227
1808,2,we should end mandatory retirement these days people need to work longer to afford to live because of inflation.,in favor of,We should end mandatory retirement,A21228
1809,72,we should not subsidize embryonic stem cell research because these scientists have been working on this a long time.,against,We should subsidize embryonic stem cell research,A21229
1810,16,executives have earned their compensation and should not be capped on what they can earn as this would be and overreach into company affairs,against,We should limit executive compensation,A21231
1811,-1,it is unfair to assassinate others as a surprise and out of battlefield.,in favor of,We should ban targeted killing,A21232
1812,18,"multi-party systems bring diversity to politics, and giving more voices to the population",in favor of,We should adopt a multi-party system,A21233
1813,-1,we shouldnt because they are helping animals that might be going extinct to help breed.,against,We should abolish zoos,A21234
1814,48,we should ban private military companies because it relies too much on government funding,in favor of,We should ban private military companies,A21235
1815,41,fast food is cheap and easy and is often the only way poor people can feed their families. if you ban fast food these people won't have enough food to get thru til their next check comes.,against,We should ban fast food,A21237
1816,20,"When newspapers worry more about the bottom line than the headlines, the quality of the papers goes down resulting in poor pop journalism that panders to the public and the advertisers.",in favor of,We should subsidize journalism,A21238
1817,2,this type of investigations always end up perverting and end up fulfilling dark objectives,against,We should subsidize embryonic stem cell research,A21239
1818,34,factory farming requires a load of workforce and provides a lot of jobs opportunities,against,We should ban factory farming,A21240
1819,10,intellectual property rights limit the information people can use,in favor of,We should abolish intellectual property rights,A21241
1820,36,some people just don't have an opinion about who to vote for,against,We should introduce compulsory voting,A21244
1821,11,"adopting gender-neutral language will cost lots of money to fix signs, letters, forms, etc.",against,We should adopt gender-neutral language,A21246
